,movieCd,movieNm,movieNmEn,movieNmOg,watchGradeNm,prdtYear,showTm,genres,directors
0,20179462,위대한 쇼맨,The Greatest Showman,,12세이상관람가,2017,104,"['드라마', '뮤지컬']",마이클 그레이시
1,20209161,언더워터,Underwater,,15세이상관람가,2019,94,['스릴러'],윌리엄 유뱅크
2,20207893,프리즌 이스케이프,ESCAPE FROM PRETORIA,,12세이상관람가,2020,106,"['어드벤처', '스릴러']",
3,20208122,카페 벨에포크,La belle epoque,,15세이상관람가,2019,115,"['코미디', '드라마']",니콜라스 베도스
4,20207501,그집,32 Malasana Street,Malasaña 32,15세이상관람가,2020,104,"['공포(호러)', '스릴러']",
5,20208264,미스비헤이비어,MISBEHAVIOUR,,15세이상관람가,2020,106,['드라마'],필립파 로소프
6,20208282,더 플랫폼,The Platform,El Hoyo,청소년관람불가,2019,94,"['SF', '스릴러']",
7,20196782,초미의 관심사,Jazzy Misfits,,15세이상관람가,2019,92,['드라마'],남연우
8,20209029,아홉 스님,,,전체관람가,2020,71,['드라마'],윤성준
9,20173226,패왕별희 디 오리지널,Farewell My Concubine,,15세이상관람가,1993,171,"['드라마', '멜로/로맨스']",첸 카이거
10,20208686,콜 오브 와일드,The Call of the Wild,,12세이상관람가,2019,99,"['어드벤처', '드라마', '가족']",크리스 샌더스
11,20189987,킬러의 보디가드 무삭제 특별판,The Hitman's Bodyguard,,청소년관람불가,2017,125,"['액션', '코미디']",패트릭 휴즈
12,20207341,레이니 데이 인 뉴욕,A Rainy Day in New York,,15세이상관람가,2019,92,"['코미디', '멜로/로맨스']",우디 앨런
13,20113252,톰보이,Tomboy,,12세이상관람가,2011,81,['드라마'],셀린 시아마
14,20205402,트롤: 월드 투어,Trolls World Tour,,전체관람가,2020,90,"['애니메이션', '어드벤처', '코미디']",월트 도른
15,20207722,저 산 너머,,,12세이상관람가,2019,111,['드라마'],최종태
16,20197397,나의 청춘은 너의 것,Love the Way You Are,我的青春都是你,12세이상관람가,2019,91,['멜로/로맨스'],주동
17,20208562,씨 피버,Sea Fever,,15세이상관람가,2019,93,"['SF', '공포(호러)']",니사 하디만
18,20181685,호텔 레이크,,,15세이상관람가,2020,100,['공포(호러)'],윤은경
19,20206441,마이 스파이,My Spy,,12세이상관람가,2020,100,"['액션', '코미디']",피터 시걸
20,20192399,1917,,,15세이상관람가,2019,119,"['드라마', '전쟁']",샘 멘데스
21,20167904,라라랜드,LA LA LAND,,12세이상관람가,2016,127,"['드라마', '뮤지컬', '멜로/로맨스']",데이미언 셔젤
22,20184889,어벤져스: 엔드게임,Avengers: Endgame,,12세이상관람가,2018,180,"['액션', 'SF']",안소니 루소
23,20183782,기생충,PARASITE,,15세이상관람가,2019,131,['드라마'],봉준호
24,20206190,서치 아웃,Search Out,,15세이상관람가,2019,92,['스릴러'],곽정
25,20124721,어벤져스,The Avengers,,12세이상관람가,2012,142,"['액션', 'SF']",조스 웨던
26,20206021,건즈 아킴보,Guns Akimbo,,청소년관람불가,2020,97,['액션'],제이슨 레이 하우덴
27,20196716,유령선,Ghost Ship,,12세이상관람가,2019,48,['다큐멘터리'],김지영
28,20204741,비밀정보원: 인 더 프리즌 ,The Informer,,청소년관람불가,2019,113,"['범죄', '스릴러']",안드레아 디 스테파노
29,20148493,어벤져스: 에이지 오브 울트론,The Avengers: Age of Ultron,,12세이상관람가,2014,141,"['액션', '어드벤처', '판타지', 'SF']",조스 웨던
30,20206865,애프터 웨딩 인 뉴욕 ,After the Wedding,,12세이상관람가,2019,111,['드라마'],바트 프룬디치
31,19888010,시네마 천국,Cinema Paradiso,Nuovo Cinema Paradiso,전체관람가,1988,124,"['드라마', '멜로/로맨스']",쥬세페 토르나토레
32,20206402,오픈 더 도어 ,STRAY,,15세이상관람가,2019,88,"['공포(호러)', '스릴러']",올가 고로데츠카야
33,20205262,엽문4: 더 파이널,ip Man4: The Finale,,12세이상관람가,2019,104,"['액션', '드라마']",엽위신
34,20204107,주디,Judy,,12세이상관람가,2019,117,"['드라마', '멜로/로맨스']",루퍼트 굴드
35,20206447,라라걸,Ride Like a Girl,,전체관람가,2019,98,['드라마'],레이첼 그리피스
36,20199842,인비저블맨,The Invisible Man,,15세이상관람가,2020,124,['공포(호러)'],리 워넬
37,20206446,n번째 이별 중,Time Freak,,12세이상관람가,2018,104,"['멜로/로맨스', '코미디']",
38,20205902,신과 나: 100일간의 거래,Homestay,,15세이상관람가,2018,136,"['미스터리', '스릴러', '판타지']",팍품 웡품
39,20205841,더 터닝 ,The Turning,,15세이상관람가,2020,94,"['미스터리', '공포(호러)']",플로리아 시지스몬디
40,20205708,스케어리 스토리:어둠의 속삭임 ,Scary Stories to Tell in the Dark,,15세이상관람가,2019,108,"['판타지', '공포(호러)']",안드레 외브레달
41,20204791,다크 워터스 ,Dark Waters,,12세이상관람가,2019,127,['드라마'],토드 헤인즈
42,20190280,날씨의 아이,Weathering With You,,15세이상관람가,2019,112,"['애니메이션', '판타지', '멜로/로맨스']",신카이 마코토
43,20193321,정직한 후보,HONEST CANDIDATE,,12세이상관람가,2019,104,['코미디'],장유정
44,20206424,사랑하고 있습니까,,,12세이상관람가,2019,107,"['판타지', '멜로/로맨스']",김정권
45,20180962,지푸라기라도 잡고 싶은 짐승들,BEASTS CLAWING AT STRAWS,,청소년관람불가,2018,108,"['스릴러', '범죄']",김용훈
46,20192240,작은 아씨들,Little Women,,전체관람가,2019,134,"['드라마', '멜로/로맨스']",그레타 거윅
47,20180523,스타 이즈 본,A Star Is Born,,15세이상관람가,2018,135,"['드라마', '멜로/로맨스']",브래들리 쿠퍼
48,20205096,세인트 아가타 ,"St, Agatha",,청소년관람불가,2019,103,"['공포(호러)', '스릴러']",대런 린 보우즈만
49,20135428,어바웃 타임,ABOUT TIME,,15세이상관람가,2013,123,"['멜로/로맨스', '코미디']",리차드 커티스
50,20010238,메멘토,Memento,,15세관람가,2000,113,"['미스터리', '범죄', '스릴러']",크리스토퍼 놀란
51,20040598,해리포터와 아즈카반의 죄수,Harry Potter And The Prisoner Of Azkaban,,전체관람가,2004,136,['드라마'],알폰소 쿠아론
52,20204681,더 보이 2: 돌아온 브람스 ,Brahms: The Boy Ⅱ,,15세이상관람가,2020,86,"['공포(호러)', '미스터리', '스릴러']",윌리엄 브렌트 벨
53,20193526,젠틀맨,The Gentlemen,,청소년관람불가,2020,113,"['범죄', '액션']",가이 리치
54,20190864,울프 콜,The Wolf's Call,,15세이상관람가,2019,115,"['액션', '스릴러']",안토닌 보드리
55,20182447,클로젯,The Closet,,15세이상관람가,2018,97,"['미스터리', '드라마']",김광빈
56,20197390,조조 래빗,JOJO RABBIT,,12세이상관람가,2019,108,"['코미디', '드라마', '전쟁']",타이카 와이티티
57,20184891,수퍼 소닉,Sonic the Hedgehog,,전체관람가,2019,98,"['애니메이션', '액션', '어드벤처']",제프 파울러
58,20180939,남산의 부장들,The Man Standing Next,,15세이상관람가,2019,113,['드라마'],우민호
59,20193911,"하이, 젝시",Jexi,,15세이상관람가,2019,84,['코미디'],존 루카스
60,20198431,버즈 오브 프레이(할리 퀸의 황홀한 해방),BIRDS OF PREY (AND THE FANTABULOUS EMANCIPATION OF ONE HARLEY QUINN),,15세이상관람가,2020,108,"['액션', '어드벤처', '범죄']",캐시 얀
61,20192101,히트맨,HITMAN: AGENT JUN,,15세이상관람가,2019,109,"['코미디', '액션']",최원섭
62,20192984,극장판 미니특공대: 공룡왕 디노 ,Miniforce: Dino King,,전체관람가,2019,73,['애니메이션'],이영준
63,20100312,인셉션,Inception,Inception,12세이상관람가,2010,147,"['드라마', '미스터리']",크리스토퍼 놀란
64,20192300,스파이 지니어스 ,Spies in Disguise,,전체관람가,2019,101,"['애니메이션', '액션', '코미디', '가족', 'SF']",닉 브루노
65,20198676,타오르는 여인의 초상,Portrait of a Lady on Fire,,15세이상관람가,2019,121,['드라마'],셀린 시아마
66,20191109,페인 앤 글로리,Dolor y gloria,,청소년관람불가,2019,113,['드라마'],페드로 알모도바르
67,20188421,미스터 주: 사라진 VIP,MR. ZOO: THE MISSING VIP,,12세이상관람가,2018,113,"['코미디', '드라마']",김태윤
68,20183002,해치지않아,SECRET ZOO,,12세이상관람가,2019,117,['코미디'],손재곤
69,20199581,닥터 두리틀,Dolittle,,전체관람가,2019,101,"['판타지', '어드벤처']",스티븐 개건
70,20196670,나쁜 녀석들: 포에버,Bad Boys for Life,,청소년관람불가,2019,123,['액션'],아딜 엘 아르비
71,20198430,나이브스 아웃,KNIVES OUT,,12세이상관람가,2018,130,"['미스터리', '스릴러']",라이언 존슨
72,20192206,백두산,ASHFALL,,12세이상관람가,2019,128,"['어드벤처', '드라마']",이해준
73,20184571,천문: 하늘에 묻는다,Forbidden Dream,,12세이상관람가,2019,132,['사극'],허진호
74,20195462,스타워즈: 라이즈 오브 스카이워커,Star Wars: The Rise of Skywalker,,12세이상관람가,2019,141,"['액션', '어드벤처', '판타지', 'SF']",J.J. 에이브럼스
75,20198414,시동,START-UP,,15세이상관람가,2019,101,['드라마'],최정열
76,20196272,미드웨이,Midway,,15세이상관람가,2019,138,"['액션', '드라마']",롤랜드 에머리히
77,20197803,겨울왕국 2,Frozen 2,,전체관람가,2019,103,['애니메이션'],크리스 벅
78,20198374,신비아파트 극장판 하늘도깨비 대 요르문간드,The Haunted House: The Sky Ghost VS Jormungandr,,전체관람가,2019,96,['애니메이션'],변영규
79,20192401,포드 V 페라리,FORD v FERRARI,,12세이상관람가,2019,152,"['액션', '드라마']",제임스 맨골드
80,20191408,21 브릿지: 테러 셧다운 ,21 Bridges,,15세이상관람가,2019,99,"['스릴러', '드라마', '범죄']",브라이언 커크
81,20199981,눈의 여왕4,The Snow Queen: Mirrorlands,Snezhnaya koroleva. Zazerkale,전체관람가,2019,87,"['애니메이션', '가족', '판타지', '어드벤처']",로버트 렌스
82,20192721,캣츠,Cats,,12세이상관람가,2019,,"['뮤지컬', '드라마']",톰 후퍼
83,20198818,프린스 코기,The Queen's Corgi,,전체관람가,2019,82,['애니메이션'],벤 스타센
84,20198681,쥬만지: 넥스트 레벨,Jumanji : The Next Level,,12세이상관람가,2019,122,['액션'],제이크 캐스단
85,20188462,감쪽같은 그녀,A Little Princess,,전체관람가,2019,104,['드라마'],허인무
86,20190545,카운트다운,Countdown,,15세이상관람가,2019,90,"['공포(호러)', '스릴러']",
87,20197278,라스트 크리스마스,Last Christmas,Last Christmas,12세이상관람가,2019,102,"['코미디', '멜로/로맨스']",폴 페이그
88,20198182,아내를 죽였다,Killed My Wife,,15세이상관람가,2019,97,"['스릴러', '액션']",김하라
89,20195002,블랙머니,BLACK MONEY,Zealarabi,12세이상관람가,2019,113,"['범죄', '드라마']",정지영
90,20185161,나를 찾아줘,Bring Me Home,,15세이상관람가,2019,107,['스릴러'],김승우
91,20199576,러브 앳,Love at Second Sight,Mon inconnue,12세이상관람가,2019,118,"['멜로/로맨스', '코미디']",위고 젤랭
92,20199428,크롤,CRAWL,,15세이상관람가,2019,87,"['액션', '스릴러']",알렉산더 아야
93,20190142,굿 라이어,The Good Liar,,15세이상관람가,2019,109,['스릴러'],빌 콘돈
94,20181434,신의 한 수: 귀수편,The Divine Move 2: The Wrathful,,15세이상관람가,2019,106,"['범죄', '액션']",리건
95,20191029,82년생 김지영,"KIM JI-YOUNG, BORN 1982",,12세이상관람가,2019,118,['드라마'],김도영
96,20197336,허슬러,Hustlers,,청소년관람불가,2019,109,"['범죄', '드라마']",로렌 스카파리아
97,20196284,윤희에게,Moonlit Winter,滿月,12세이상관람가,2019,104,['멜로/로맨스'],임대형
98,20192083,터미네이터: 다크 페이트,Terminator: Dark Fate,,15세이상관람가,2019,128,"['액션', '어드벤처', 'SF']",팀 밀러
99,20197721,엔젤 해즈 폴른,Angel Has Fallen,,15세이상관람가,2019,120,"['액션', '스릴러']",릭 로먼 워
100,20198421,좀비랜드: 더블 탭,Zombieland: Double Tap,,15세이상관람가,2019,98,"['액션', '코미디', '공포(호러)']",루벤 플레셔
101,20184341,얼굴없는 보스,The Faceless Boss,,15세이상관람가,2019,114,"['액션', '드라마']",송창용
102,20197279,아담스 패밀리,The Addams Family,,전체관람가,2019,86,"['애니메이션', '코미디', '가족']",그렉 티어넌
103,20199950,조커,Joker,,15세이상관람가,2019,122,"['액션', '드라마', '스릴러']",토드 필립스
104,20191589,말레피센트 2,Maleficent: Mistress of Evil,,12세이상관람가,2019,118,"['어드벤처', '가족', '판타지']",요아킴 뢰닝
105,20193801,닥터 슬립,Doctor Sleep,,15세이상관람가,2019,151,['스릴러'],마이크 플래너건
106,20195920,가장 보통의 연애,Crazy Romance,,15세이상관람가,2019,109,"['멜로/로맨스', '코미디']",김한결
107,20192589,빅 위시,SALMAS BIG WISH,,전체관람가,2019,79,"['판타지', '애니메이션', '어드벤처']",
108,20196136,람보 : 라스트 워,Rambo: Last Blood,,청소년관람불가,2019,100,['액션'],애드리언 그런버그
109,20198184,빅 2: 황금열쇠 대소동,Norm of the North: Keys to the Kingdom,,전체관람가,2017,91,"['애니메이션', '가족', '코미디', '어드벤처']",
110,20184483,퍼펙트맨,Man of Men,,15세이상관람가,2019,116,"['코미디', '드라마']",용수
111,20185361,두번할까요,"LOVE, AGAIN",,15세이상관람가,2019,112,"['코미디', '멜로/로맨스']",박용집
